,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,external_gene_name
ENSMUSG00000003573,2000.30324503383,-0.865662158125011,0.168422228676218,-5.13983317361982,2.74982501263012e-07,2.4874593555427e-05,Homer3
ENSMUSG00000022075,1029.66601486155,-0.901720928516205,0.175583643094957,-5.13556338518702,2.81300048075904e-07,2.50182550430294e-05,Rhobtb2
ENSMUSG00000085057,85.2879604479959,-2.0515420355747,0.399367731809372,-5.13697495358478,2.7919614916544e-07,2.50182550430294e-05,Gm13415
ENSMUSG00000019470,2457.42278231839,-0.674167337039608,0.131276854539551,-5.13546229763218,2.81451302018733e-07,2.50182550430294e-05,Xab2
ENSMUSG00000023243,30.3075896296079,4.15365748627367,0.813339153197992,5.10691938282054,3.27453366955842e-07,2.89401027416491e-05,Kcnk5
ENSMUSG00000033213,47.2859995715152,-3.16404547778524,0.620365472048046,-5.10029268285936,3.3912865763638e-07,2.98006885550415e-05,AA467197
ENSMUSG00000031604,2835.70848834058,-1.26485279749821,0.248090130782438,-5.0983599932374,3.42608792911027e-07,2.9935443280601e-05,Msmo1
ENSMUSG00000000142,22.7650206437408,-5.08084373523658,0.997278640339603,-5.09470826880079,3.49278677201383e-07,3.03131439254329e-05,Axin2
ENSMUSG00000044167,684.153799312421,1.10432228812687,0.216795430971637,5.09384484339684,3.50873951016195e-07,3.03131439254329e-05,Foxo1
ENSMUSG00000019978,6539.01929533299,0.998810774217827,0.196152497539614,5.09201150505929,3.54284599815806e-07,3.04368076869691e-05,Epb41l2
ENSMUSG00000028977,199.887686984451,2.5130916358676,0.494513790460217,5.08194449648979,3.73590586926679e-07,3.19170891431026e-05,Casz1
ENSMUSG00000016344,630.067223410823,0.998281410555631,0.196717007590156,5.07470819521344,3.88091103230069e-07,3.29727347263647e-05,Ppdpf
ENSMUSG00000006930,1971.50660347601,-2.32164936132298,0.458028758693517,-5.06878513031641,4.00362882676648e-07,3.36436087967295e-05,Hap1
ENSMUSG00000042812,21.9399835703624,-4.92036951748913,0.97053757639481,-5.06973623398126,3.9836739995225e-07,3.36436087967295e-05,Foxf1
ENSMUSG00000022044,19.7042832562541,-5.17055318239968,1.02288762816479,-5.05485943913157,4.30707864076476e-07,3.59968779009133e-05,Stmn4
ENSMUSG00000031634,1631.08211222412,-0.827077269192633,0.163708466025861,-5.05213498892584,4.36898738846392e-07,3.63169124647558e-05,Ufsp2
ENSMUSG00000047787,126.691108982878,2.96974568080008,0.588373056300032,5.04738558131,4.4789684028384e-07,3.70309548918543e-05,Flrt1
ENSMUSG00000063455,170.239918684014,1.48237633156485,0.294276229960773,5.03736347228064,4.71987990149341e-07,3.88140711899281e-05,D630045J12Rik
ENSMUSG00000042684,8.3201025414112,-6.06948600839291,1.205291224041,-5.03570082261418,4.76103680112124e-07,3.89442680466183e-05,Npl
ENSMUSG00000031878,1109.01487609403,-0.804988090271879,0.159898634051304,-5.03436502161486,4.7943535072537e-07,3.90092953621944e-05,Nae1
ENSMUSG00000050447,974.01743793473,1.56252150232754,0.310547510483995,5.03150548491699,4.86643184660028e-07,3.93873625984311e-05,Lypd6
ENSMUSG00000001642,2219.42031494826,-1.87411301615901,0.373263166463396,-5.02088923993199,5.14328123769986e-07,4.14101460069887e-05,Akr1b3
ENSMUSG00000039578,290.818155145114,1.48442299026291,0.295798762370575,5.01835429724766,5.21159972815905e-07,4.17416565727239e-05,Ccser1
ENSMUSG00000086681,8.34893511026236,-4.49701422551058,0.897484536613577,-5.0106871395009,5.42360272286873e-07,4.32145920581737e-05,Gm16178
ENSMUSG00000004891,4567.29904769341,-1.30924983617411,0.261350390552959,-5.00955760350702,5.45552963882273e-07,4.32449148380495e-05,Nes
ENSMUSG00000014077,3108.44772716907,0.794418753732845,0.158652355610323,5.00729252129146,5.52010027122419e-07,4.33102561075947e-05,Chp1
ENSMUSG00000031791,602.025826978024,-1.08842582475032,0.217338893059555,-5.00796617406194,5.50081988283659e-07,4.33102561075947e-05,Tmem38a
ENSMUSG00000041695,7.14802518107353,-6.45452784697001,1.29037753725739,-5.00204603738582,5.67250393743857e-07,4.42800840354976e-05,Kcnj2
ENSMUSG00000042190,28.6348601972266,-3.29401598056171,0.659478432096924,-4.99488053019084,5.88722007303542e-07,4.57240759005751e-05,Cmklr1
ENSMUSG00000022139,2172.41486303998,-0.716895615258068,0.143638014318332,-4.99098806580043,6.0071209563786e-07,4.63125614596489e-05,Mbnl2
ENSMUSG00000044216,30.7365022575979,-3.03205261190824,0.607568421000957,-4.99047104343078,6.02322297563388e-07,4.63125614596489e-05,Kcnj4
ENSMUSG00000031467,1002.98077643524,-0.827999670576903,0.166225309959235,-4.98118891028064,6.31948108134867e-07,4.81093960737524e-05,Agpat5
ENSMUSG00000004319,1735.82700076081,-1.24846788366301,0.250610438132493,-4.98170743791194,6.30256728488621e-07,4.81093960737524e-05,Clcn3
ENSMUSG00000004270,2217.88090421601,0.958330516396346,0.192917839738891,4.96755778363173,6.78013586627229e-07,5.13620341633179e-05,Lpcat3
ENSMUSG00000050199,729.714591541173,1.67323902885205,0.337264520502722,4.96120678913377,7.00565606057802e-07,5.28102837742984e-05,Lgr4
ENSMUSG00000057788,2683.33995896389,-0.760454689785109,0.153598125597546,-4.95093730360768,7.38568967186396e-07,5.54034808653287e-05,Ddx49
ENSMUSG00000061731,1611.71582921819,0.969147705407835,0.195823057617487,4.94909903460363,7.4557805066361e-07,5.56577634131311e-05,Ext1
ENSMUSG00000031585,1402.59123819084,-0.807496517100412,0.163306842461808,-4.94465819635975,7.62775784582179e-07,5.63940673812728e-05,Gtf2e2
ENSMUSG00000036867,585.632677966781,1.84119066523961,0.372334001770151,4.94499738537501,7.61448864383096e-07,5.63940673812728e-05,Smad6
ENSMUSG00000071604,16.0568663709845,6.13567390139242,1.24311058883772,4.93574260929522,7.98463546022238e-07,5.81932341740757e-05,Fam189a2
ENSMUSG00000042745,4769.39003087192,2.6837823311586,0.54360006066079,4.93705303839784,7.93119068534373e-07,5.81932341740757e-05,Id1
ENSMUSG00000038515,387.077449128802,-1.27513850959343,0.25830328428294,-4.93659425637294,7.94986241445313e-07,5.81932341740757e-05,Grtp1
ENSMUSG00000036990,2212.69629017636,-1.07277816488655,0.217461960742407,-4.93317618044151,8.09031183204222e-07,5.86852902609176e-05,Otud4
ENSMUSG00000026343,497.867441414163,-1.48839033678711,0.301773363385804,-4.93214616455155,8.13310191793004e-07,5.87187048328301e-05,Gpr39
ENSMUSG00000045629,91.366337883832,3.47606175100649,0.706457844657789,4.92040930296457,8.63634139007005e-07,6.17719339053476e-05,Sh3tc2
ENSMUSG00000017765,3546.27101564064,-0.673147906621675,0.136782222129417,-4.92131138200676,8.59662282559265e-07,6.17719339053476e-05,Slc12a4
ENSMUSG00000028637,15.3352238631352,4.19597962254995,0.85305901016288,4.91874486121281,8.71009112686066e-07,6.2011009883733e-05,Ccdc30
ENSMUSG00000029217,136.027333748169,-1.41307104800836,0.287458063656966,-4.91574677026499,8.84446627598701e-07,6.26775126231006e-05,Tec
ENSMUSG00000052446,418.68771595133,-0.799736663688486,0.16274384830947,-4.91408229555764,8.91992789134074e-07,6.29223170243293e-05,Zfp961
ENSMUSG00000056602,14.2653633593853,-6.26960610338841,1.27666105082007,-4.91094022126007,9.06407200210274e-07,6.36471686065461e-05,Fry
ENSMUSG00000056204,2079.76423999925,-0.904669203067083,0.184707480978558,-4.89784819907809,9.68918391632943e-07,6.77273955751427e-05,Pgpep1
ENSMUSG00000078606,87.4387576055829,-3.58476468172243,0.736491224063993,-4.86735559718082,1.13101415673809e-06,7.87001615489515e-05,Gvin2
ENSMUSG00000030314,704.734454394962,0.608994931738052,0.125358671837897,4.85801997428269,1.1856545105593e-06,8.21306083936074e-05,Atg7
ENSMUSG00000000693,1144.32180573887,1.04206074129246,0.214578827930418,4.85630735959826,1.1959501842863e-06,8.2472295667958e-05,Loxl3
ENSMUSG00000055413,535.833731524929,-3.06453693438554,0.631898991076771,-4.84972594933804,1.23632166567475e-06,8.48756900658315e-05,H2-Q5
ENSMUSG00000038482,3695.78948486006,-0.634958833696686,0.131209725758052,-4.83926652561972,1.30319184313451e-06,8.90688185054331e-05,Tfdp1
ENSMUSG00000031935,1324.95702427056,-0.588113107865749,0.121673166529594,-4.83354814081134,1.34120826251995e-06,9.12615073496983e-05,Med17
ENSMUSG00000031626,63.52124557087,-3.47079758329768,0.718541193999276,-4.83033904288746,1.36300759249522e-06,9.23362588431344e-05,Sorbs2
ENSMUSG00000020363,37.220351814287,5.71337817712466,1.18399573833979,4.82550569407963,1.3964847481219e-06,9.41892213009584e-05,Gfpt2
ENSMUSG00000010307,1828.73339398441,-1.53649124209589,0.318505031525216,-4.82407211822728,1.40656520954421e-06,9.44548462548947e-05,Tmem86a
ENSMUSG00000031783,2675.7310287864,-0.741351596615674,0.153745318456565,-4.82194582611057,1.42164560066471e-06,9.5052461074008e-05,Polr2c
ENSMUSG00000012126,75.4030962395489,2.22762650561242,0.462190672935923,4.81971323969415,1.43764715515308e-06,9.57062249001905e-05,Ubxn11
ENSMUSG00000091994,96.1839422831189,1.04176939701549,0.216465285585991,4.81263956109788,1.48949786241076e-06,9.87305953799686e-05,E130317F20Rik
ENSMUSG00000031527,2061.74052178159,-0.836242046907095,0.173834513764146,-4.8105639599377,1.50505031358808e-06,9.93333206968135e-05,Eri1
ENSMUSG00000037455,321.15249473314,1.16635811838767,0.242532148845334,4.80908664661801,1.51621478574564e-06,9.96425255350278e-05,Slc18b1
ENSMUSG00000040651,458.898136541846,-0.781889840794365,0.162638492186593,-4.80753252371102,1.52804565598725e-06,9.9666819686201e-05,Tasor
ENSMUSG00000030089,186.848206680123,1.20810671029728,0.251304811603439,4.80733616912869,1.52954671907553e-06,9.9666819686201e-05,Slc41a3
ENSMUSG00000026167,19.9372820458609,-6.75965476717039,1.4078715876273,-4.80132906053066,1.57616020996572e-06,0.000101730640913501,Wnt10a
ENSMUSG00000023000,65.0111047845949,-2.56995270773869,0.535327976679374,-4.80070689314622,1.58106536469806e-06,0.000101730640913501,Dhh
ENSMUSG00000005514,4996.94120041695,-0.752398739750903,0.156698595058431,-4.8015665964991,1.57429134287896e-06,0.000101730640913501,Por
ENSMUSG00000022014,7.84487192830144,-5.98935403005255,1.24827490174119,-4.79810498608769,1.60173821778169e-06,0.000102631376304362,Epsti1
ENSMUSG00000056888,573.201280758161,-2.3453306453461,0.489527195435986,-4.79101195441713,1.65942238182999e-06,0.000105886296214861,Glipr1
