,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,external_gene_name
ENSMUSG00000044551,286.734308087264,-0.806236009004635,0.129677435205297,-6.21724209557547,5.05968813881371e-10,1.29679806997795e-07,9930012K11Rik
ENSMUSG00000001333,89.9031677182618,-1.90191651237189,0.3077386969997,-6.18029689120877,6.39811632906483e-10,1.61295463784195e-07,Sync
ENSMUSG00000039611,42.9063500210721,-6.92342872619308,1.12175413798206,-6.17196629080216,6.74458825697548e-10,1.67287545509305e-07,Pgap4
ENSMUSG00000015341,1219.83884869865,-0.598456618650932,0.0971767119523728,-6.15843659069511,7.34665885660577e-10,1.79328444280767e-07,Golga7
ENSMUSG00000009630,2080.2555861949,-0.965572325565881,0.157753183768407,-6.12077869048531,9.3119162147006e-10,2.23747886796353e-07,Ppp2cb
ENSMUSG00000032184,17.9377534746142,-5.3649871866033,0.877819013371444,-6.11172360689474,9.85607779588978e-10,2.33179637454143e-07,Lysmd2
ENSMUSG00000050359,693.869377592644,-6.38401768865197,1.04762143931995,-6.09382115432464,1.10246826445395e-09,2.5687510561777e-07,Sprr1a
ENSMUSG00000040562,1819.98138497802,2.24756226061634,0.369084973433652,6.08955233183007,1.13226849827461e-09,2.5988096964876e-07,Gstm2
ENSMUSG00000007872,5382.56172149138,2.65358932049548,0.436031079468156,6.08578022404314,1.15925372200393e-09,2.62161819661417e-07,Id3
ENSMUSG00000027896,61.5201144021567,4.76600030325615,0.784122406503818,6.07813303602229,1.21589862185614e-09,2.70986797201504e-07,Slc16a4
ENSMUSG00000031729,3145.63727176635,-0.804397877044685,0.132411943800181,-6.07496464411534,1.24015042041817e-09,2.72443330931294e-07,Ist1
ENSMUSG00000048373,228.987392853934,-4.58868684117421,0.759403253826594,-6.04249036075636,1.51753418376961e-09,3.28685079971959e-07,Fgfbp1
ENSMUSG00000030849,331.534130432243,3.86701748450759,0.642514590745759,6.01856757839411,1.75967249442863e-09,3.70688268757856e-07,Fgfr2
ENSMUSG00000031799,13721.0267870019,-0.985351325822863,0.163704728421739,-6.01907675680805,1.75414680558651e-09,3.70688268757856e-07,Tpm4
ENSMUSG00000053552,27.9291277326586,-5.07051767297413,0.84309740165027,-6.01415407407157,1.80828463276514e-09,3.75781095711653e-07,Ebf4
ENSMUSG00000031660,2363.96576076514,-0.78980823401399,0.132323309992839,-5.96877628028449,2.39039606629178e-09,4.90126809432466e-07,Brd7
ENSMUSG00000061132,55.6678373045629,-5.44735355757278,0.914539783341161,-5.95638774474253,2.57874095436414e-09,5.12154836578812e-07,Blnk
ENSMUSG00000037709,27.7692733516456,5.17430765895258,0.868599714667784,5.95706810810041,2.56803239801225e-09,5.12154836578812e-07,Fam13a
ENSMUSG00000045128,22554.0959692413,-0.963027461999789,0.161712372657471,-5.95518726349784,2.59774205053631e-09,5.12154836578812e-07,Rpl18a
ENSMUSG00000023235,167.466298124292,-1.41822684297119,0.238677756008251,-5.94201515336083,2.81539386721081e-09,5.41189086124599e-07,Ccl25
ENSMUSG00000052906,1031.08622870017,-0.731255466786546,0.123058858056164,-5.94232287165223,2.81011232690265e-09,5.41189086124599e-07,Ubxn8
ENSMUSG00000032291,45.8916892924248,-4.52521242213886,0.762856709690912,-5.93192976433589,2.99394702898431e-09,5.68406387799022e-07,Crabp1
ENSMUSG00000022544,473.547046904011,1.28286517853178,0.216534478633464,5.92453075661607,3.13190392045401e-09,5.87346566935876e-07,Eef2kmt
ENSMUSG00000039601,280.597580692066,6.14889516669983,1.04370312579516,5.89142162625529,3.8288724508935e-09,7.09402416263136e-07,Rcan2
ENSMUSG00000006342,113.164428410573,3.78317376504974,0.642613467547314,5.88716850191315,3.92868117029543e-09,7.19229274247656e-07,Susd2
